This file contains the electron density obtained by simulating the Venus ionosphere using the 1D Venus Ionosphere Model (VIM)
for the Pre-flare and flare scenario as on the date 22 December, 2013. The model result has been compared with the VeRa electron
density retrieved for the same day. The full VeRa data can be accessed via the https://fip-koeln.de/marsvera-data-archive/?lang=en 
after asking for access to the server.
 
-----------------------------------------------------------------------------
 values at 130 km altitude above aeroid (130 km) for VeRa profile
-----------------------------------------------------------------------------
 Measurement time (130 km)                    [ERT] :  2013-12-22T08:48:37.621
 Measurement time (130 km)               [ERT-OWLT] :  2013-12-22T08:45:59.339
 Solar longitude (130 km)                     [deg] :      200.66
 Planet to Sun distance (130 km)          [10^6 km] :     107.768
 North planetary latitude (130 km)            [deg] :      -51.25
 East planetary longitude (130 km)            [deg] :       47.03
 Sub-solar north planetary latitude (130 km)  [deg] :       -0.93
 Sub-solar east planetary longitude (130 km)  [deg] :       96.40
 Aeroid radius (130 km)                        [km] :    6051.800
 Local true solar time (130 km)               [hrs] :       15.29
 Solar zenith angle (130 km)                  [deg] :       65.15
 Electron density (130 km)               [10^6/m^3] :   192030.12
 
=============================================================================

Height_Model	Ne_Flare	Ne_PreFlare	Alt	VeRa_Ne
100	3.33E-06	4.03E-07	49.198	-9999999.99
100.1	7.25E-06	8.77E-07	49.222	-9999999.99
100.2	1.55E-05	1.87E-06	49.255	-9999999.99
100.3	3.24E-05	3.91E-06	49.296	-9999999.99
100.4	6.64E-05	8.03E-06	49.334	-9999999.99
100.5	0.00013349	1.61E-05	49.366	-9999999.99
100.6	2.64E-08	3.19E-05	49.367	-9999999.99
100.7	5.11E-08	6.18E-05	49.377	-9999999.99
100.8	9.74E-08	0.000117777	49.407	-9999999.99
100.9	1.82E-07	2.21E-08	49.423	-9999999.99
101	3.36E-07	4.06E-08	49.43	-9999999.99
101.1	6.08E-07	7.36E-08	49.444	-9999999.99
101.2	1.08E-06	1.31E-07	49.45	-9999999.99
101.3	1.90E-06	2.30E-07	49.454	-9999999.99
101.4	3.29E-06	3.98E-07	49.477	-9999999.99
101.5	5.61E-06	6.79E-07	49.495	-9999999.99
101.6	9.43E-06	1.14E-06	49.509	-9999999.99
101.7	1.56E-05	1.89E-06	49.516	-9999999.99
101.8	2.55E-05	3.09E-06	49.527	-9999999.99
101.9	4.12E-05	4.98E-06	49.541	-9999999.99
102	6.55E-05	7.93E-06	49.561	-9999999.99
102.1	0.000103047	1.25E-05	49.578	-9999999.99
102.2	0.000160024	1.94E-05	49.588	-9999999.99
102.3	0.000245556	2.97E-05	49.589	-9999999.99
102.4	0.000372443	4.50E-05	49.593	-9999999.99
102.5	0.000558527	6.76E-05	49.602	-9999999.99
102.6	0.000849519	0.000100195	49.609	-9999999.99
102.7	0.001275171	0.000147013	49.613	-9999999.99
102.8	0.001894782	0.000213458	49.614	-9999999.99
102.9	0.002790174	0.000306782	49.616	-9999999.99
103	0.004080575	0.00043654	49.627	-9999999.99
103.1	0.005963034	0.000615184	49.639	-9999999.99
