 -----------------------------------------------------------------------------
  values at 130 km altitude above aeroid (130 km)
 -----------------------------------------------------------------------------
 Measurement time (130 km)                    [ERT] :  2010-07-05T06:37:45.593
 Measurement time (130 km)               [ERT-OWLT] :  2010-07-05T06:29:04.039
 Solar longitude (130 km)                     [deg] :      333.59
 Planet to Sun distance (130 km)          [10^6 km] :     108.073
 North planetary latitude (130 km)            [deg] :        5.89
 East planetary longitude (130 km)            [deg] :      176.30
 Sub-solar north planetary latitude (130 km)  [deg] :       -1.17
 Sub-solar east planetary longitude (130 km)  [deg] :      153.82
 Aeroid radius (130 km)                        [km] :    6051.800
 MOLA radius (130 km)                          [km] :   -9999.999
 Local true solar time (130 km)               [hrs] :       10.50
 Solar zenith angle (130 km)                  [deg] :       23.53
 Electron density (130 km)               [10^6/m^3] :   216209.65

=========================================================================

Altitude	ELECTRON NUMBER DENSITY
3835.972	270.22
3835.448	-144.76
3834.922	-354.01
3834.397	-274.88
3833.871	-169.38
3833.349	-484.13
3832.822	-718
3832.298	-726.79
3831.772	-878.01
3831.248	-976.48
3830.724	-1377.4
3830.197	-1338.71
3829.673	-1236.73
3829.147	-1185.73
3828.624	-1319.37
3828.097	-1372.12
3827.574	-1379.16
3827.044	-485.89
3826.523	53.94
3825.998	-693.38
3825.473	-705.69
3824.946	25.8
3824.425	-243.23
3823.898	-830.54
3823.373	-355.77
3822.846	491.78
3822.322	1138.87
3821.797	1290.09
3821.272	1499.34
3820.749	1158.21
3820.224	883.9
3819.701	490.02
3819.175	182.3
3818.651	52.18
3818.128	-739.1
3817.603	-1442.46
3817.078	-1729.08
3816.553	-1832.82
3816.025	-1268.38
3815.503	-1008.13
3814.979	-1681.6
3814.452	-1746.66
3813.926	-1030.99
3813.402	-668.76
3812.878	-742.62
3812.354	-958.9
3811.83	-1389.71
3811.306	-1908.43
3810.777	-1400.26
3810.255	-936.04
3809.731	-1600.71
3809.206	-1906.67
3808.68	-1579.61
3808.156	-1402.01
3807.633	-1764.24
3807.106	-1678.08
3806.582	-1465.32
3806.057	-1250.79
3805.53	-443.69
3805.01	-807.68
3804.482	-1023.96
3803.958	-371.59
3803.437	-1104.85
3802.909	-1247.28
3802.387	-1199.8
3801.861	-1533.89
3801.336	-1127.7
3800.813	-1340.47
3800.287	-1630.61
3799.762	-1208.59
3799.235	-304.78
3798.711	416.17
3798.188	539.25
3797.664	249.12
3797.141	-464.79
3796.616	-805.92
3796.091	-795.37
3795.567	-892.08
3795.043	-1180.46
3794.518	-1275.41
3793.994	-1322.89
3793.469	-1528.62
3792.943	-943.07
3792.419	-461.27
3791.896	-851.64
3791.371	-1002.86
3790.847	-863.95
3790.321	-688.11
3789.801	-1307.06
3789.276	-2393.75
3788.749	-2307.59
3788.226	-2175.71
3787.703	-2720.81
3787.175	-2404.3
3786.652	-1908.43
3786.127	-1977.01
3785.601	-1475.87
3785.077	-735.58
3784.556	-1092.54
3784.028	-1006.38
3783.507	-1006.38
3782.982	-1632.36
3782.457	-1458.28
3781.932	-1254.31
3781.411	-1938.33
3780.888	-3353.83
3780.362	-3893.66
3779.835	-3236.02
3779.312	-2821.04
3778.79	-3390.76
3778.261	-2908.96
3777.737	-1737.87
3777.216	-2084.27
3776.692	-2917.75
3776.169	-3464.61
3775.644	-3821.57
3775.114	-2657.51
3774.598	-2981.05
3774.069	-3812.77
3773.545	-2952.92
3773.022	-2910.72
3772.495	-2502.77
3771.97	-1549.72
3771.449	-1764.24
3770.927	-2945.89
3770.402	-3501.54
3769.875	-2975.78
3769.352	-2511.56
3768.828	-2462.33
3768.304	-2428.92
3767.779	-2335.72
3767.256	-2330.45
3766.731	-2346.27
3766.206	-1968.22
3765.686	-2553.76
3765.159	-3065.46
3764.637	-3139.31
3764.113	-3721.34
3763.585	-2882.58
3763.064	-2351.55
3762.538	-2515.08
3762.015	-2231.98
3761.49	-1959.43
3760.966	-1695.67
3760.442	-1707.98
3759.92	-1977.01
3759.395	-2086.03
3758.873	-2430.68
3758.345	-2205.6
3757.822	-1539.17
3757.3	-1841.61
3756.777	-2374.41
3756.247	-1423.12
3755.726	-440.17
3755.202	-547.43
3754.68	-753.17
3754.154	-860.43
3753.63	-357.53
3753.108	-589.64
3752.584	-992.31
3752.062	-1370.36
3751.536	-1653.46
3751.011	-1236.73
3750.488	-1067.92
3749.968	-1957.67
3749.443	-2921.27
3748.917	-2657.51
3748.393	-2261.87
3747.871	-2703.23
3747.345	-2618.82
3746.822	-2133.51
3746.297	-1797.65
3745.774	-1581.37
3745.253	-2370.89
3744.727	-2757.74
3744.204	-2768.29
3743.681	-3211.4
3743.154	-2873.79
3742.63	-2107.13
3742.108	-2121.2
3741.585	-2597.72
3741.058	-2138.78
3740.539	-2346.27
3740.012	-2754.22
3739.491	-2726.09
3738.966	-3153.38
3738.442	-3002.15
3737.92	-3311.63
3737.398	-4276.99
3736.874	-4897.7
3736.349	-4864.3
3735.824	-4542.51
3735.299	-4011.47
3734.775	-3260.64
3734.254	-3292.29
3733.728	-3334.49
3733.205	-3030.29
3732.684	-3770.57
3732.159	-4213.69
3731.633	-3353.83
3731.11	-2578.38
3730.586	-2397.27
3730.064	-2409.58
3729.543	-3271.19
3729.016	-3383.73
3728.493	-2636.41
3727.97	-2826.31
3727.445	-2680.37
3726.92	-1882.06
3726.402	-2499.25
3725.877	-3508.57
3725.354	-3821.57
3724.828	-3668.59
3724.305	-3100.62
3723.783	-3443.51
3723.259	-3796.95
3722.739	-4637.46
3722.21	-4538.99
3721.689	-3777.61
3721.168	-4860.78
3720.642	-5326.75
3720.12	-5187.84
3719.594	-4918.81
3719.074	-5082.34
3718.543	-4222.48
3718.021	-2457.05
3717.499	-2263.63
3716.976	-2441.23
3716.453	-2481.67
3715.931	-2727.84
3715.404	-2128.23
3714.884	-1845.13
3714.362	-2928.3
3713.835	-2608.27
3713.313	-1999.87
3712.79	-2221.43
3712.268	-2513.32
3711.744	-2849.17
3711.22	-2713.78
3710.7	-3225.47
3710.176	-4231.27
3709.65	-3955.2
3709.126	-3060.18
3708.603	-2469.36
3708.083	-3012.7
3707.558	-3638.69
3707.034	-3392.52
3706.514	-4053.67
3705.99	-4873.09
3705.47	-5768.11
3704.94	-5423.46
3704.42	-4630.43
3703.897	-5217.73
3703.375	-5776.9
3702.851	-6174.3
3702.328	-6390.58
3701.803	-6154.96
3701.283	-6399.37
3700.758	-6853.04
3700.233	-6244.64
3699.712	-6235.84
3699.182	-5026.07
3698.665	-4259.41
3698.141	-5061.24
3697.616	-4723.62
3697.095	-4779.89
3696.569	-4468.66
3696.048	-3969.27
3695.524	-3948.17
3695.004	-4329.74
3694.479	-4665.6
3693.955	-4055.43
3693.434	-4058.95
3692.909	-4248.86
3692.389	-4760.55
3691.865	-5282.79
3691.342	-5166.74
3690.817	-4786.93
3690.294	-4320.95
3689.77	-3858.49
3689.25	-3904.21
3688.727	-4670.87
3688.204	-5068.27
3687.682	-5432.26
3687.156	-5194.87
3686.633	-4542.51
3686.11	-4132.8
3685.59	-4403.6
3685.066	-4985.62
3684.542	-4690.21
3684.023	-5302.14
3683.496	-5490.28
3682.975	-5117.5
3682.452	-5574.69
3681.928	-5479.73
3681.407	-5819.1
3680.881	-5688.98
3680.359	-4996.17
3679.836	-4920.56
3679.315	-5281.03
3678.79	-5129.81
3678.267	-4477.45
3677.744	-4211.93
3677.22	-3767.06
3676.699	-3549.02
3676.177	-3905.97
3675.654	-4037.85
3675.129	-3422.41
3674.61	-3666.83
3674.086	-4301.61
3673.565	-4586.47
3673.04	-4746.48
3672.517	-4333.26
3671.997	-4655.05
3671.473	-5210.7
3670.951	-5332.03
3670.427	-5129.81
3669.906	-5226.52
3669.378	-4586.47
3668.861	-4597.02
3668.334	-4786.93
3667.815	-4632.19
3667.291	-5237.08
3666.767	-4714.83
3666.244	-4176.76
3665.725	-4750
3665.198	-4588.23
3664.68	-4658.56
3664.152	-4491.52
3663.631	-3612.32
3663.11	-3904.21
3662.586	-3814.53
3662.063	-3505.06
3661.542	-3744.2
3661.019	-3856.73
3660.496	-3513.85
3659.974	-3466.37
3659.448	-2764.77
3658.926	-1722.04
3658.406	-1933.05
3657.886	-3028.53
3657.36	-3065.46
3656.839	-2715.54
3656.318	-3260.64
3655.797	-4169.73
3655.274	-4885.4
3654.749	-4517.89
3654.227	-4108.19
3653.705	-4308.64
3653.183	-4556.58
3652.66	-4721.87
3652.141	-5588.75
3651.613	-5353.13
3651.09	-3949.93
3650.571	-4252.37
3650.045	-4167.97
3649.525	-3633.42
3649.004	-4387.77
3648.481	-4813.3
3647.957	-4284.02
3647.434	-3561.32
3646.912	-3339.77
3646.389	-3081.28
3645.867	-2740.15
3645.346	-3047.87
3644.824	-3401.31
3644.299	-2799.94
3643.78	-2836.87
3643.257	-3584.18
3642.735	-3673.86
3642.213	-3774.09
3641.691	-4041.37
3641.166	-3652.76
3640.645	-3100.62
3640.122	-2894.89
3639.605	-3791.67
3639.077	-3986.86
3638.554	-2655.75
3638.034	-2622.34
3637.512	-3141.07
3636.988	-2785.87
3636.471	-3385.48
3635.945	-4014.99
3635.423	-3325.7
3634.899	-2687.4
3634.378	-2235.49
3633.854	-1853.92
3633.335	-1887.33
3632.813	-2421.88
3632.291	-2668.06
3631.766	-2188.02
3631.248	-2446.5
3630.728	-4215.45
3630.202	-4393.05
3629.681	-3858.49
3629.157	-3765.3
3628.638	-3960.48
3628.112	-3700.24
3627.593	-3628.14
3627.068	-3642.21
3626.546	-2891.38
3626.023	-2441.23
3625.503	-2312.86
3624.981	-2434.19
3624.458	-2101.86
3623.938	-2293.52
3623.417	-3016.22
3622.892	-2740.15
3622.373	-2761.25
3621.847	-2421.88
3621.328	-2145.82
3620.806	-2954.68
3620.285	-3475.16
3619.761	-3461.1
3619.24	-3260.64
3618.718	-3385.48
3618.197	-3506.81
3617.675	-3823.33
3617.154	-4227.76
3616.627	-3410.1
3616.109	-2882.58
3615.589	-3884.87
3615.063	-3533.19
3614.543	-2998.64
3614.022	-3517.36
3613.499	-3469.89
3612.979	-3631.66
3612.458	-4417.66
3611.935	-4793.96
3611.411	-4336.78
3610.892	-4347.33
3610.368	-4449.31
3609.844	-3505.06
3609.324	-3095.35
3608.802	-3130.52
3608.281	-3258.88
3607.76	-3640.45
3607.237	-3608.8
3606.713	-2815.76
3606.192	-1950.63
3605.672	-2045.59
3605.149	-2175.71
3604.63	-2342.76
3604.107	-2692.68
3603.587	-3114.69
3603.064	-3455.82
3602.541	-2905.44
3602.018	-2045.59
3601.499	-1880.3
3600.979	-2645.2
3600.457	-3181.51
3599.934	-3169.2
3599.411	-2668.06
3598.887	-1440.7
3598.368	-962.42
3597.845	-958.9
3597.327	-1403.77
3596.804	-2043.83
3596.281	-1402.01
3595.762	-1338.71
3595.239	-1751.94
3594.72	-2297.04
3594.196	-2441.23
3593.675	-2054.38
3593.153	-1955.91
3592.634	-2386.72
3592.109	-2442.98
3591.59	-2323.41
3591.066	-2210.88
3590.546	-1961.18
3590.025	-2450.02
3589.502	-2298.8
3588.979	-1366.85
3588.46	-1238.48
3587.936	-1057.37
3587.416	-456
3586.897	-1083.74
3586.373	-1351.02
3585.854	-1319.37
3585.333	-1934.81
3584.809	-1618.3
3584.287	-751.41
3583.766	-575.57
3583.247	-1106.6
3582.725	-1505.76
3582.204	-1514.55
3581.68	-1023.96
3581.16	-614.25
3580.639	-918.46
3580.119	-1278.93
3579.597	-1509.28
3579.078	-2073.72
3578.554	-2152.85
3578.031	-1352.78
3577.512	-1338.71
3576.991	-1804.69
3576.471	-2270.66
3575.949	-2569.59
3575.428	-2620.58
3574.909	-3498.02
3574.385	-3883.11
3573.862	-3049.63
3573.342	-2588.93
3572.823	-3104.14
3572.3	-3524.4
3571.779	-3394.28
3571.254	-2550.25
3570.734	-1445.97
3570.214	-1285.96
3569.695	-2024.49
3569.171	-2210.88
3568.651	-1704.46
3568.129	-1495.21
3567.609	-1454.77
3567.086	-1245.52
3566.566	-994.07
3566.042	-267.85
3565.523	389.79
3565	644.76
3564.48	1186.34
3563.963	465.4
3563.44	-211.58
3562.918	162.96
3562.4	-406.76
3561.877	-844.6
3561.357	-754.92
3560.835	-1006.38
