
 -----------------------------------------------------------------------------
  values at 130 km altitude above aeroid (130 km)
 -----------------------------------------------------------------------------
 Measurement time (130 km)                    [ERT] :  2013-12-21T08:54:10.722
 Measurement time (130 km)               [ERT-OWLT] :  2013-12-21T08:51:30.013
 Solar longitude (130 km)                     [deg] :      199.05
 Planet to Sun distance (130 km)          [10^6 km] :     107.785
 North planetary latitude (130 km)            [deg] :      -51.12
 East planetary longitude (130 km)            [deg] :       45.29
 Sub-solar north planetary latitude (130 km)  [deg] :       -0.86
 Sub-solar east planetary longitude (130 km)  [deg] :       93.31
 Aeroid radius (130 km)                        [km] :    6051.800
 MOLA radius (130 km)                          [km] :   -9999.999
 Local true solar time (130 km)               [hrs] :       15.20
 Solar zenith angle (130 km)                  [deg] :       64.44
 Electron density (130 km)               [10^6/m^3] :   183276.34

=============================================================================

Altitude	ELECTRON NUMBER DENSITY
947.846	0
947.485	5.28
947.12	-103.75
946.756	101.99
946.391	553.89
946.029	691.05
945.666	527.52
945.301	592.58
944.941	367.5
944.576	-29.89
944.213	-70.34
943.847	149.46
943.486	72.09
943.123	-133.64
942.758	-45.72
942.395	123.09
942.032	-21.1
941.669	-330.58
941.304	-283.1
940.942	-367.5
940.577	-522.24
940.214	-355.2
939.849	-96.71
939.488	-212.77
939.124	-372.78
938.759	-140.67
938.395	165.29
938.033	65.06
937.671	-263.76
937.305	-226.83
936.944	-302.44
936.579	-464.22
936.216	-363.99
935.851	-56.27
935.489	0
935.126	-152.98
934.761	-24.62
934.4	-179.36
934.035	-487.08
933.672	-406.19
933.306	-79.13
932.945	-61.54
932.582	-163.53
932.217	-10.55
931.854	167.05
931.492	5.28
931.129	-363.99
930.764	-441.36
930.403	-694.57
930.038	-956.57
929.674	-742.04
929.308	-265.52
928.947	-133.64
928.583	-163.53
928.219	36.93
927.856	189.91
927.494	-56.27
927.132	-492.35
926.767	-587.3
926.406	-838.75
926.041	-1181.64
925.678	-1202.74
925.313	-958.33
924.951	-946.02
924.588	-1120.1
924.222	-975.91
923.862	-1127.13
923.498	-1540.35
923.135	-1693.33
922.77	-1624.76
922.409	-1811.15
922.045	-2062.6
921.68	-1971.16
921.316	-1740.81
920.953	-1702.13
920.59	-1746.09
920.225	-1485.84
919.864	-1499.91
919.499	-1714.44
919.136	-1626.52
918.771	-1327.59
918.41	-1287.15
918.046	-1292.42
917.681	-954.81
917.317	-504.66
916.955	-374.54
916.592	-485.32
916.227	-407.95
915.867	-641.81
915.503	-1067.35
915.14	-1185.16
914.776	-989.98
914.413	-961.84
914.049	-1026.9
913.684	-673.47
913.322	-541.59
912.958	-640.06
912.595	-522.24
912.23	-265.52
911.869	-318.27
911.506	-413.22
911.141	-119.57
910.777	277.83
910.415	337.61
910.052	186.39
909.687	318.27
909.326	196.94
908.962	-109.02
908.599	-110.78
908.234	142.43
907.872	196.94
907.509	203.97
907.144	464.22
906.781	735.01
906.419	682.26
906.056	481.8
905.691	615.44
905.33	508.18
904.966	216.28
904.603	228.59
904.238	597.85
903.876	796.55
903.512	791.28
903.147	1093.72
902.786	1132.41
902.422	944.26
902.059	951.29
901.695	1025.14
901.335	775.45
900.971	567.96
900.605	858.1
900.242	1295.94
899.88	1373.31
899.517	1236.15
899.152	1406.72
898.791	1362.76
898.427	1157.02
898.064	1204.5
897.699	1359.24
897.338	1241.43
896.974	1193.95
896.609	1573.76
896.246	2004.57
895.884	2018.64
895.521	1779.5
895.157	1819.94
894.796	1645.86
894.432	1355.72
894.068	1394.41
893.704	1726.74
893.342	1834.01
892.979	1775.98
892.613	2101.28
892.252	2187.44
891.888	2053.81
891.525	2159.31
891.161	2373.83
890.8	2259.54
890.436	2118.87
890.072	2338.67
889.709	2618.25
889.347	2574.29
888.984	2396.69
888.619	2579.57
888.258	2518.02
887.894	2194.48
887.532	2039.74
887.167	2008.09
886.806	1763.67
886.443	1591.35
886.077	1842.8
885.714	2217.34
885.352	2278.88
884.989	2203.27
884.624	2467.03
884.263	2454.72
883.899	2194.48
883.536	2169.86
883.172	2430.1
882.81	2489.89
882.447	2400.21
882.082	2651.66
881.722	2574.29
881.358	2185.69
880.995	2032.71
880.631	2030.95
880.271	1661.68
879.908	1132.41
879.544	859.86
879.182	669.95
878.82	246.18
878.457	-219.8
878.091	-249.69
877.73	-374.54
877.365	-541.59
877.002	-416.74
876.638	-270.79
876.278	-576.75
875.914	-928.43
875.549	-775.45
875.185	-383.33
874.822	-228.59
874.459	-247.93
874.095	-7.03
873.734	-3.52
873.369	-135.4
873.006	0
872.643	346.4
872.281	371.02
871.918	142.43
871.553	258.48
871.192	198.7
870.828	24.62
870.465	177.6
870.1	515.21
869.739	511.69
869.376	369.26
869.012	478.28
868.649	613.68
868.287	464.22
867.924	233.87
867.56	349.92
867.199	205.73
866.835	-72.09
866.471	63.3
866.106	441.36
865.746	471.25
865.383	309.48
865.019	360.47
864.656	487.08
864.294	393.88
863.93	274.31
863.565	583.79
863.204	657.64
862.84	502.9
862.478	524
862.115	678.74
861.753	522.24
861.39	203.97
861.025	365.75
860.664	423.77
860.299	365.75
859.936	553.89
859.572	822.93
859.211	759.63
858.848	641.81
858.484	824.69
858.121	981.18
857.76	733.25
857.397	356.95
857.032	429.05
856.671	369.26
856.307	186.39
855.944	312.99
855.579	618.96
855.218	636.54
854.855	578.51
854.491	815.9
854.128	1070.86
853.766	1025.14
853.403	967.12
853.037	1369.79
852.676	1552.66
852.313	1478.81
851.95	1570.25
851.587	1809.39
851.226	1670.48
850.863	1281.87
850.498	1361
850.137	1394.41
849.773	1334.62
849.41	1499.91
849.046	1726.74
848.685	1610.69
848.322	1436.61
847.958	1589.59
847.595	1730.26
847.234	1413.75
846.872	884.47
846.508	759.63
846.147	555.65
845.782	309.48
845.419	425.53
845.054	768.42
844.693	826.45
844.33	801.83
843.966	1030.42
843.603	1225.6
843.242	1053.28
842.879	764.9
842.514	909.09
842.153	928.43
841.789	859.86
841.426	1079.65
841.062	1498.15
840.7	1582.56
840.338	1390.89
839.974	1482.33
839.613	1339.9
839.249	1116.58
838.886	1262.53
838.521	1568.49
838.161	1596.62
837.797	1652.89
837.432	2096.01
837.069	2600.67
836.708	2674.52
836.346	2442.41
835.982	2468.79
835.621	2319.32
835.257	2131.18
834.893	2361.53
834.528	2811.67
834.168	2918.94
833.805	2897.84
833.441	3170.39
833.078	3467.56
832.717	3356.78
832.355	3068.4
831.99	3179.18
831.629	3152.8
831.265	2996.31
830.902	3085.98
830.539	3400.74
830.177	3441.18
829.815	3242.48
829.451	3300.51
829.091	3043.78
828.727	2595.39
828.364	2530.33
827.999	2778.26
827.639	2808.16
827.275	2787.06
826.911	3049.06
826.549	3279.41
826.187	3119.39
825.825	2785.3
825.461	2765.96
825.1	2556.71
824.736	2259.54
824.373	2282.4
824.009	2449.44
823.649	2280.64
823.286	2015.12
822.922	2074.91
822.559	2205.03
822.198	2006.33
821.836	1649.37
821.471	1621.24
821.111	1389.13
820.747	1076.14
820.383	1153.51
820.019	1619.48
819.657	1874.45
819.295	1800.6
818.931	1930.72
