The full VeRa data can be accessed via the https://fip-koeln.de/marsvera-data-archive/?lang=en after asking for access to the server.
-----------------------------------------------------------------------------
  values at 130 km altitude above aeroid (130 km)
 -----------------------------------------------------------------------------
 Measurement time (130 km)                    [ERT] :  2013-12-22T08:48:37.621
 Measurement time (130 km)               [ERT-OWLT] :  2013-12-22T08:45:59.339
 Solar longitude (130 km)                     [deg] :      200.66
 Planet to Sun distance (130 km)          [10^6 km] :     107.768
 North planetary latitude (130 km)            [deg] :      -51.25
 East planetary longitude (130 km)            [deg] :       47.03
 Sub-solar north planetary latitude (130 km)  [deg] :       -0.93
 Sub-solar east planetary longitude (130 km)  [deg] :       96.40
 Aeroid radius (130 km)                        [km] :    6051.800
 MOLA radius (130 km)                          [km] :   -9999.999
 Local true solar time (130 km)               [hrs] :       15.29
 Solar zenith angle (130 km)                  [deg] :       65.15
 Electron density (130 km)               [10^6/m^3] :   192030.12

===========================================================================

Altitude	ELECTRON NUMBER DENSITY
948.053	0
947.688	796.55
947.322	1271.32
946.96	1269.56
946.595	1090.21
946.229	1165.82
945.864	1262.53
945.5	1070.86
945.135	865.13
944.767	1151.75
944.404	1295.94
944.037	1292.42
943.672	1528.05
943.305	1837.52
942.943	1775.98
942.578	1577.28
942.212	1658.17
941.847	1835.76
941.483	1758.4
941.118	1584.31
940.75	1784.77
940.388	1777.74
940.021	1603.66
939.656	1688.06
939.291	1943.03
938.927	1830.49
938.563	1487.6
938.196	1575.52
937.832	1552.66
937.466	1434.85
937.1	1661.68
936.733	2117.11
936.37	2307.01
936.005	2370.32
935.639	2546.16
935.275	2609.46
934.911	2386.14
934.546	2159.31
934.179	2347.46
933.816	2270.09
933.45	1964.13
933.085	1943.03
932.718	2106.56
932.356	1904.34
931.992	1543.87
931.625	1508.7
931.26	1631.79
930.895	1573.76
930.53	1473.54
930.163	1749.6
929.8	1798.84
929.434	1682.78
929.069	1835.76
928.703	2176.89
928.339	2152.28
927.975	1797.08
927.609	1746.09
927.246	1550.9
926.88	1273.08
926.514	1313.52
926.148	1512.22
925.785	1419.03
