 -----------------------------------------------------------------------------
  values at 130 km altitude above aeroid (130 km)
 -----------------------------------------------------------------------------
 Measurement time (130 km)                    [ERT] :  2013-12-23T08:43:06.413
 Measurement time (130 km)               [ERT-OWLT] :  2013-12-23T08:40:30.474
 Solar longitude (130 km)                     [deg] :      202.27
 Planet to Sun distance (130 km)          [10^6 km] :     107.752
 North planetary latitude (130 km)            [deg] :      -51.52
 East planetary longitude (130 km)            [deg] :       48.74
 Sub-solar north planetary latitude (130 km)  [deg] :       -1.00
 Sub-solar east planetary longitude (130 km)  [deg] :       99.48
 Aeroid radius (130 km)                        [km] :    6051.800
 MOLA radius (130 km)                          [km] :   -9999.999
 Local true solar time (130 km)               [hrs] :       15.38
 Solar zenith angle (130 km)                  [deg] :       65.96
 Electron density (130 km)               [10^6/m^3] :   161355.97
 
=============================================================================

Altitude	ELECTRON NUMBER DENSITY
2078.743	310.47
2078.373	423.01
2078.001	588.3
2077.633	539.06
2077.262	553.13
2076.89	971.63
2076.519	1500.91
2076.15	1724.22
2075.78	1757.63
2075.408	2021.39
2075.04	2061.83
2074.67	1859.62
2074.3	1752.36
2073.929	1680.26
2073.562	1391.89
2073.191	1217.8
2072.818	1486.84
2072.448	1875.44
2072.078	1949.3
2071.709	1791.04
2071.338	1799.83
2070.97	1576.52
2070.599	1254.73
2070.228	1252.97
2069.857	1544.87
2069.488	1641.58
2069.118	1523.77
2068.746	1653.89
2068.378	1608.17
2068.007	1448.15
2067.637	1497.39
2067.265	1611.68
2066.898	1434.09
2066.528	1207.25
2066.156	1291.66
2065.786	1467.5
2065.416	1407.71
2065.046	1256.49
2064.674	1416.5
2064.306	1395.4
2063.935	1186.15
2063.565	1136.92
2063.194	1207.25
2062.826	1078.89
2062.455	994.49
2062.083	1291.66
2061.712	1667.95
2061.343	1711.91
2060.974	1502.66
2060.603	1456.95
2060.235	1186.15
2059.864	774.69
2059.494	637.53
2059.123	772.93
2058.753	783.48
2058.383	683.25
2058.011	867.88
2057.643	873.16
2057.271	787
2056.901	1005.04
2056.529	1351.44
2056.161	1397.16
2055.791	1347.93
2055.419	1574.76
2055.049	1914.13
2054.679	2049.53
2054.309	2075.9
2053.937	2341.42
2053.569	2369.55
2053.198	2223.61
2052.828	2309.77
